"domain","registrarOfRecord","ianaId","registryExpiry","registryCreated","registryStatus","transferLocked","registryExpired","bucket"
"3dmc2.org","eNom, LLC","48","2030-06-28","2018-06-28","active","False","False","ENOM_READY"
"alltypetowing.com","eNom, LLC","48","2027-04-15","2015-04-15","active","False","False","ENOM_READY"
"apollonianfp.org","eNom, LLC","48","2026-12-13","2021-12-13","active","False","False","ENOM_READY"
"aprilhansen.com","Cloudflare, Inc.","1910","2027-08-07","2016-08-07","client transfer prohibited","True","False","AT_CLOUDFLARE"
"armstrongacesbaseball.org","eNom, LLC","48","2026-08-15","2024-08-15","active","False","False","ENOM_READY"
"bboc4vets.org","eNom, LLC","48","2027-05-26","2017-05-26","client transfer prohibited","True","False","ENOM_LOCKED"
"bintobetter.org","eNom, LLC","48","2026-11-30","2025-11-30","active","False","False","ENOM_READY"
"bringingpeople2people.org","eNom, LLC","48","2027-03-25","2023-03-25","client transfer prohibited","True","False","ENOM_LOCKED"
"browncanyonranch.org","eNom, LLC","48","2027-05-14","2010-05-14","client transfer prohibited","True","False","ENOM_LOCKED"
"bucktownbullsbaseball.org","eNom, LLC","48","2026-12-11","2024-12-11","active","False","False","ENOM_READY"
"bulldogztowing.com","eNom, LLC","48","2026-11-29","2023-11-29","active","False","False","ENOM_READY"
"canadatokeywestcoastalrun.com","eNom, LLC","48","2027-03-31","2015-03-31","active","False","False","ENOM_READY"
"canadatokeywestcoastalrun.org","eNom, LLC","48","2027-03-31","2015-03-31","active","False","False","ENOM_READY"
"cochiserobotics.org","eNom, LLC","48","2026-10-02","2017-10-02","active","False","False","ENOM_READY"
"coronadonationalforestheritagesociety.org","eNom, LLC","48","2027-01-16","2024-01-16","active","False","False","ENOM_READY"
"cvrs-us.org","eNom, LLC","48","2027-07-16","2025-07-16","client transfer prohibited,renew period","True","False","ENOM_LOCKED"
"dropletsoflove.org","eNom, LLC","48","2027-07-16","2025-07-16","client transfer prohibited,renew period","True","False","ENOM_LOCKED"
"educationandempowerment.org","eNom, LLC","48","2026-07-24","2016-07-24","active","False","False","ENOM_READY"
"emc-professional.com","eNom, LLC","48","2027-06-19","2025-06-19","active","False","False","ENOM_READY"
"emc-professional.org","eNom, LLC","48","2027-06-19","2025-06-19","client transfer prohibited","True","False","ENOM_LOCKED"
"exceptionalridersprogram.com","eNom, LLC","48","2028-03-26","2018-03-26","active","False","False","ENOM_READY"
"exceptionalridersprogram.org","eNom, LLC","48","2026-08-17","2025-08-17","active","False","False","ENOM_READY"
"facinggiantsnc.org","eNom, LLC","48","2027-07-01","2017-07-01","client transfer prohibited","True","False","ENOM_LOCKED"
"falloutshelterecovillage.org","eNom, LLC","48","2027-05-30","2017-05-30","client transfer prohibited","True","False","ENOM_LOCKED"
"fencingtogether.org","eNom, LLC","48","2026-12-16","2025-12-16","active","False","False","ENOM_READY"
"ffc.ngo","eNom, LLC","48","2027-02-05","2017-02-05","active","False","False","ENOM_READY"
"ffcadmin.org","eNom, LLC","48","2026-10-05","2015-10-05","active","False","False","ENOM_READY"
"ffcdomains.com","eNom, LLC","48","2026-09-06","2021-09-06","active","False","False","ENOM_READY"
"ffcdomains.org","eNom, LLC","48","2026-09-06","2021-09-06","active","False","False","ENOM_READY"
"ffchosting.com","eNom, LLC","48","2027-01-08","2014-01-08","active","False","False","ENOM_READY"
"ffchosting.org","eNom, LLC","48","2027-01-08","2014-01-08","active","False","False","ENOM_READY"
"ffchostingmultisite.org","Cloudflare, Inc.","1910","2027-09-06","2021-09-06","client transfer prohibited","True","False","AT_CLOUDFLARE"
"ffcsites.org","eNom, LLC","48","2027-02-21","2018-02-21","active","False","False","ENOM_READY"
"ffcworkingsite1.org","eNom, LLC","48","2026-11-02","2016-11-02","active","False","False","ENOM_READY"
"ffcworkingsite2.org","eNom, LLC","48","2026-09-19","2018-09-19","active","False","False","ENOM_READY"
"freedomrisingusa.org","eNom, LLC","48","2026-11-06","2025-11-06","active","False","False","ENOM_READY"
"freeforcharity.ngo","eNom, LLC","48","2027-02-05","2017-02-05","active","False","False","ENOM_READY"
"freeforcharity.org","Cloudflare, Inc.","1910","2029-04-02","2013-04-02","client transfer prohibited","True","False","AT_CLOUDFLARE"
"freetoolsfornonprofits.org","eNom, LLC","48","2026-10-24","2025-10-24","active","False","False","ENOM_READY"
"graftonareahistory.org","eNom, LLC","48","2027-07-12","2016-07-12","client transfer prohibited","True","False","ENOM_LOCKED"
"harmonycenterfoundation.org","eNom, LLC","48","2027-04-16","2025-04-16","client transfer prohibited","True","False","ENOM_LOCKED"
"hasbeensandgonnabees.org","eNom, LLC","48","2026-09-19","2018-09-19","active","False","False","ENOM_READY"
"hunnewellscottages.com","eNom, LLC","48","2026-10-24","2013-10-24","active","False","False","ENOM_READY"
"ieeeforthuachuca.org","eNom, LLC","48","2027-02-28","2017-02-28","active","False","False","ENOM_READY"
"ihadrousa.com","eNom, LLC","48","2026-09-22","2015-09-22","active","False","False","ENOM_READY"
"ihadrousa.org","eNom, LLC","48","2026-09-22","2015-09-22","active","False","False","ENOM_READY"
"instituteofforgiveness.org","eNom, LLC","48","2026-09-09","2017-09-09","active","False","False","ENOM_READY"
"jwvpost619.org","eNom, LLC","48","2027-01-15","2025-01-15","active","False","False","ENOM_READY"
"legion-in-the-woods.org","eNom, LLC","48","2026-09-11","2025-09-11","active","False","False","ENOM_READY"
"legioninthewoods.org","Cloudflare, Inc.","1910","2026-11-06","2025-11-06","client transfer prohibited","True","False","AT_CLOUDFLARE"
"letsdanceactivities.com","eNom, LLC","48","2026-09-17","2014-09-17","active","False","False","ENOM_READY"
"letsdanceactivities.org","eNom, LLC","48","2027-01-16","2018-01-16","active","False","False","ENOM_READY"
"letspiritlead.org","GoDaddy.com, LLC","146","2027-05-17","2022-05-17","client delete prohibited,client renew prohibited,client transfer prohibited,client update prohibited,auto renew period","True","False","OTHER"
"lifelessonslearned.us.org","","","","","","","","UNKNOWN"
"makeacalendarinvite.org","eNom, LLC","48","2026-09-20","2024-09-20","active","False","False","ENOM_READY"
"melaninmagicfoundation.org","","","","","","","","UNREGISTERED"
"mitchellnchistory.org","Cloudflare, Inc.","1910","2030-08-08","2016-08-08","client transfer prohibited","True","False","AT_CLOUDFLARE"
"my-missions.org","eNom, LLC","48","2027-03-05","2018-03-05","active","False","False","ENOM_READY"
"nittanypost245.org","eNom, LLC","48","2026-10-08","2025-10-08","active","False","False","ENOM_READY"
"nochaos.org","eNom, LLC","48","2026-08-31","2019-08-31","active","False","False","ENOM_READY"
"ohiomtawest.org","eNom, LLC","48","2026-09-09","2011-09-09","active","False","False","ENOM_READY"
"paaboosterclub.org","eNom, LLC","48","2026-10-04","2017-10-04","active","False","False","ENOM_READY"
"pagbooster.org","eNom, LLC","48","2026-09-03","2024-09-03","active","False","False","ENOM_READY"
"pantryforadaircounty.org","eNom, LLC","48","2026-10-16","2017-10-16","active","False","False","ENOM_READY"
"postpartumcarefoundation.com","eNom, LLC","48","2027-05-21","2020-05-21","active","False","False","ENOM_READY"
"postpartumcarefoundation.org","eNom, LLC","48","2027-05-21","2020-05-21","client transfer prohibited","True","False","ENOM_LOCKED"
"ptuganda.org","eNom, LLC","48","2026-12-16","2021-12-16","active","False","False","ENOM_READY"
"roottostem.org","eNom, LLC","48","2027-05-05","2021-05-05","client transfer prohibited","True","False","ENOM_LOCKED"
"soulfoodwhangarei.org","eNom, LLC","48","2026-09-25","2017-09-25","active","False","False","ENOM_READY"
"southamptonfriends.com","eNom, LLC","48","2027-05-20","2020-05-20","active","False","False","ENOM_READY"
"southamptonfriends.org","eNom, LLC","48","2027-05-20","2020-05-20","active","False","False","ENOM_READY"
"srrn.net","Squarespace Domains LLC","3827","2027-08-17","2020-08-17","client delete prohibited,client transfer prohibited","True","False","OTHER"
"ssrn.net","SafeNames Ltd.","447","2026-08-06","1998-08-07","client delete prohibited,client transfer prohibited,client update prohibited","True","False","OTHER"
"tamkeensports.org","eNom, LLC","48","2027-06-30","2025-06-30","active","False","False","ENOM_READY"
"technologyadoptionbarriers.org","eNom, LLC","48","2026-07-25","2025-07-25","active","False","False","ENOM_READY"
"technologymonastery.org","eNom, LLC","48","2026-12-30","2021-12-30","active","False","False","ENOM_READY"
"technologymonastery.us","eNom, LLC","48","2026-12-30","2021-12-30","active","False","False","ENOM_READY"
"theafghanistanaffairs.org","eNom, LLC","48","2026-09-06","2024-09-06","active","False","False","ENOM_READY"
"thekccf.org","eNom, LLC","48","2027-03-11","2020-03-11","active","False","False","ENOM_READY"
"thelastchancesanctuary.com","eNom, LLC","48","2027-02-24","2010-02-24","active","False","False","ENOM_READY"
"thetrendylittlegeek.com","eNom, LLC","48","2026-08-07","2016-08-07","active","False","False","ENOM_READY"
"trendylittlegeek.com","eNom, LLC","48","2026-08-07","2016-08-07","active","False","False","ENOM_READY"
"wamhelp.org","eNom, LLC","48","2027-04-23","2024-04-23","client transfer prohibited","True","False","ENOM_LOCKED"
"youngfatherscare.org","eNom, LLC","48","2026-08-16","2024-08-16","active","False","False","ENOM_READY"
